,stars
96504,1
109825,1
42082,1
79163,1
59435,1
6178,5
109515,1
37398,1
44184,4
104291,6
98533,1
56910,2
111203,1
18109,2
1293,13
42162,9
108651,0
101434,1
85853,19
57005,1
42160,20
101120,1
106987,1
54845,1
131978,1
134615,1
54815,2
13722,2
91095,1
56066,1
36251,0
30765,1
72939,4
26147,2
107496,0
104261,1
23958,29
71669,69
23100,2
43377,2
76615,1
35772,5
99161,1
28057,20
23172,2
121729,1
47339,1
12144,2
82302,0
43650,0
83879,20
56989,0
97068,2
106030,1
88226,1
54738,2
83668,1
78812,1
102441,1
117088,1
123917,1
50856,4
16630,2
87796,2
93343,1
39102,6
86515,3
35857,1
117293,403
5675,5
66946,1
93260,1
9624,2
103966,15
134379,1
98947,2
83987,1
126226,1
20045,2
118463,1
122988,0
52784,1
118421,1
90421,1
51341,22
56241,1
87746,1
56127,1
69615,1
41883,2
22641,2
62541,1
79567,5
10565,2
120539,14
100184,1
44465,12
65990,1
40491,1
103270,1
59958,3
86489,4
2528,2
928,11
11949,1
29605,1
36815,4
14931,2
125691,1
77783,1
61156,2
72841,3
8461,2
56409,1
54899,1
115665,0
14955,2
61250,3
84992,3
25629,3
92213,1
91579,5
18642,3
47029,1
132550,1
100785,1
125784,1
63242,1
8261,12
5996,2
46656,0
26336,1
113644,2
25347,2
42629,1
52378,0
33092,1
55367,1
62334,2
52443,2
52090,1
118021,1
26701,1
104206,1
81299,2
56085,1
103095,1
1514,5
41338,1
41572,1
28847,10
97228,1
88702,1
118120,1
126038,30
37256,1
118417,1
33646,1
92899,1
20116,7
41893,1
53982,5
58709,1
107154,0
9342,1
70911,1
93871,1
21426,2
29741,1
123065,1
83672,7
75019,1
105903,6
134957,1
115903,1
76858,2
86194,6
26621,1
72226,1
115342,1
20961,6
130135,1
45803,1
72678,2
44881,2
97256,2
125619,1
10441,2
113719,3
75237,1
124993,2
61986,1
106987,1
69725,1
21028,2
16347,8
38,43
130463,3
125156,2
58374,2
8089,2
